Geography,SUPPRESSION_FLAG,HOUSEHOLDS,PERSONS
C 46 00,SUPPRESS,12,0
C 46 01,SUPPRESS,1,0
C 46 02,SUPPRESS,8,0
C 46 03,SUPPRESS,8,0
C 46 04,SUPPRESS,7,0
C 46 05,SUPPRESS,3,0
C 46 06,RELEASE,16,37
C 46 07,SUPPRESS,2,0
C 46 09,SUPPRESS,8,0
C 46 10,RELEASE,19,70
C 46 11,RELEASE,10,33
C 46 12,RELEASE,19,45
C 46 13,RELEASE,18,40
C 46 14,RELEASE,345,744
C 46 15,RELEASE,330,841
C 46 16,RELEASE,568,1473
C 46 17,RELEASE,1054,2447
C 46 18,RELEASE,77,217
C 46 19,RELEASE,23,61
C 46 20,RELEASE,636,1787
C 46 21,RELEASE,259,684
C 46 22,RELEASE,842,2566
C 46 23,RELEASE,51,140
C 46 24,SUPPRESS,9,0
C 47 00,SUPPRESS,9,0
C 47 02,SUPPRESS,6,0
C 47 03,SUPPRESS,10,0
C 47 04,SUPPRESS,7,0
C 47 05,SUPPRESS,3,0
C 47 06,SUPPRESS,3,0
C 47 08,SUPPRESS,1,0
C 47 09,SUPPRESS,3,0
C 47 10,RELEASE,13,50
C 47 11,RELEASE,16,55
C 47 12,RELEASE,140,383
C 47 13,RELEASE,75,184
C 47 14,RELEASE,158,364
C 47 15,SUPPRESS,6,0
C 47 16,SUPPRESS,2,0
C 47 17,SUPPRESS,4,0
C 47 18,SUPPRESS,6,0
C 47 19,RELEASE,160,418
C 47 20,RELEASE,269,585
C 47 21,RELEASE,62,150
C 47 22,RELEASE,133,374
C 47 23,SUPPRESS,7,0
C 47 24,RELEASE,11,35
C 48 00,SUPPRESS,4,0
C 48 01,SUPPRESS,2,0
C 48 02,SUPPRESS,6,0
C 48 03,SUPPRESS,8,0
C 48 04,SUPPRESS,1,0
C 48 05,SUPPRESS,10,0
C 48 06,SUPPRESS,2,0
C 48 09,SUPPRESS,1,0
C 48 10,RELEASE,18,47
C 48 11,RELEASE,13,41
C 48 12,RELEASE,26,66
C 48 13,SUPPRESS,7,0
C 48 14,RELEASE,16,44
C 48 15,SUPPRESS,8,0
C 48 16,RELEASE,10,30
C 48 17,SUPPRESS,3,0
C 48 18,SUPPRESS,5,0
C 48 19,SUPPRESS,6,0
C 48 20,SUPPRESS,1,0
C 49 00,SUPPRESS,9,0
C 49 01,SUPPRESS,8,0
C 49 02,RELEASE,16,34
C 49 03,SUPPRESS,10,0
C 49 04,SUPPRESS,1,0
C 49 06,SUPPRESS,3,0
C 49 07,RELEASE,12,37
C 49 08,RELEASE,25,67
C 49 09,RELEASE,21,46
C 49 10,RELEASE,34,99
C 49 11,SUPPRESS,9,0
C 49 12,SUPPRESS,9,0
C 49 13,SUPPRESS,7,0
C 49 14,SUPPRESS,4,0
C 49 15,SUPPRESS,4,0
C 49 16,RELEASE,16,48
C 49 17,SUPPRESS,6,0
C 49 18,SUPPRESS,11,0
C 49 19,SUPPRESS,11,0
C 49 20,RELEASE,116,322
C 49 21,SUPPRESS,4,0
C 49 22,SUPPRESS,3,0
C 50 00,SUPPRESS,1,0
C 50 01,SUPPRESS,3,0
C 50 02,RELEASE,14,51
C 50 03,SUPPRESS,9,0
C 50 06,SUPPRESS,4,0
C 50 07,SUPPRESS,8,0
C 50 08,SUPPRESS,5,0
C 50 09,SUPPRESS,13,0
C 50 10,SUPPRESS,6,0
C 50 11,SUPPRESS,8,0
C 50 12,SUPPRESS,7,0
C 50 13,SUPPRESS,4,0
C 50 14,RELEASE,109,303
C 50 15,RELEASE,139,349
C 50 16,SUPPRESS,10,0
C 50 17,SUPPRESS,5,0
C 50 18,SUPPRESS,3,0
C 50 19,RELEASE,17,43
C 50 20,SUPPRESS,6,0
C 50 21,RELEASE,20,67
C 50 22,SUPPRESS,8,0
C 50 23,SUPPRESS,1,0
C 51 01,SUPPRESS,3,0
C 51 02,SUPPRESS,6,0
C 51 03,SUPPRESS,7,0
C 51 04,SUPPRESS,7,0
C 51 05,SUPPRESS,5,0
C 51 06,SUPPRESS,4,0
C 51 07,SUPPRESS,9,0
C 51 08,SUPPRESS,8,0
C 51 09,RELEASE,17,52
C 51 10,SUPPRESS,7,0
C 51 11,SUPPRESS,2,0
C 51 12,SUPPRESS,7,0
C 51 13,SUPPRESS,8,0
C 51 14,RELEASE,29,67
C 51 15,RELEASE,18,63
C 51 16,RELEASE,20,57
C 51 17,RELEASE,10,32
C 51 18,RELEASE,17,40
C 51 19,RELEASE,65,182
C 51 20,RELEASE,26,61
C 51 21,RELEASE,21,57
C 51 22,SUPPRESS,3,0
C 52 00,SUPPRESS,4,0
C 52 01,SUPPRESS,6,0
C 52 03,SUPPRESS,1,0
C 52 04,RELEASE,14,47
C 52 05,SUPPRESS,3,0
C 52 06,RELEASE,10,34
C 52 07,RELEASE,19,54
C 52 08,SUPPRESS,7,0
C 52 09,RELEASE,41,92
C 52 10,SUPPRESS,9,0
C 52 11,SUPPRESS,7,0
C 52 12,RELEASE,13,45
C 52 13,SUPPRESS,9,0
C 52 14,SUPPRESS,10,0
C 52 15,RELEASE,10,35
C 52 16,RELEASE,90,261
C 52 17,RELEASE,18,51
C 52 18,RELEASE,12,83
C 52 19,RELEASE,738,2121
C 52 20,RELEASE,449,1009
C 52 21,RELEASE,46,113
C 52 22,SUPPRESS,8,0
C 53 00,SUPPRESS,9,0
C 53 01,RELEASE,16,37
C 53 03,SUPPRESS,3,0
C 53 04,RELEASE,19,59
C 53 05,SUPPRESS,8,0
C 53 06,RELEASE,12,31
C 53 07,RELEASE,189,410
C 53 08,SUPPRESS,8,0
C 53 09,SUPPRESS,1,0
C 53 12,SUPPRESS,6,0
C 53 14,RELEASE,11,34
C 53 16,RELEASE,14,58
C 53 17,RELEASE,10,40
C 53 18,SUPPRESS,11,0
C 53 19,SUPPRESS,6,0
C 53 20,RELEASE,134,316
C 53 21,RELEASE,14,83
C 54 00,RELEASE,15,48
C 54 01,RELEASE,13,30
C 54 02,SUPPRESS,6,0
C 54 03,RELEASE,21,57
C 54 04,SUPPRESS,7,0
C 54 05,SUPPRESS,9,0
C 54 06,SUPPRESS,8,0
C 54 07,RELEASE,364,946
C 54 08,RELEASE,21,62
C 54 09,SUPPRESS,1,0
C 54 12,SUPPRESS,7,0
C 54 14,SUPPRESS,3,0
C 54 15,SUPPRESS,10,0
C 54 16,SUPPRESS,2,0
C 54 17,SUPPRESS,11,0
C 54 18,SUPPRESS,11,0
C 54 19,RELEASE,12,32
C 54 20,RELEASE,44,119
C 54 21,RELEASE,21,57
C 55 00,SUPPRESS,3,0
C 55 01,RELEASE,12,36
C 55 02,RELEASE,17,53
C 55 04,RELEASE,12,38
C 55 05,SUPPRESS,2,0
C 55 06,SUPPRESS,9,0
C 55 07,RELEASE,67,163
C 55 08,SUPPRESS,3,0
C 55 09,RELEASE,22,59
C 55 12,SUPPRESS,5,0
C 55 13,SUPPRESS,3,0
C 55 14,SUPPRESS,7,0
C 55 15,SUPPRESS,4,0
C 55 16,SUPPRESS,5,0
C 55 17,RELEASE,16,46
C 55 18,RELEASE,12,35
C 55 19,RELEASE,24,69
C 55 20,RELEASE,31,98
C 55 21,RELEASE,12,30
C 56 00,SUPPRESS,1,0
C 56 01,RELEASE,15,40
C 56 02,RELEASE,14,54
C 56 03,RELEASE,15,35
C 56 04,SUPPRESS,11,0
C 56 05,RELEASE,13,43
C 56 06,RELEASE,23,51
C 56 07,RELEASE,16,50
C 56 09,RELEASE,29,95
C 56 10,SUPPRESS,6,0
C 56 11,SUPPRESS,1,0
C 56 12,SUPPRESS,9,0
C 56 13,SUPPRESS,3,0
C 56 14,SUPPRESS,1,0
C 56 15,SUPPRESS,2,0
C 56 16,SUPPRESS,3,0
C 56 17,RELEASE,23,59
C 56 18,RELEASE,20,61
C 56 19,RELEASE,21,68
C 56 20,RELEASE,478,1183
C 56 21,RELEASE,22,62
C 57 01,SUPPRESS,2,0
C 57 02,RELEASE,10,32
C 57 03,RELEASE,47,106
C 57 04,RELEASE,11,41
C 57 05,SUPPRESS,4,0
C 57 06,RELEASE,72,199
C 57 07,SUPPRESS,1,0
C 57 08,SUPPRESS,6,0
C 57 09,RELEASE,31,79
C 57 10,SUPPRESS,7,0
C 57 12,SUPPRESS,3,0
C 57 13,SUPPRESS,2,0
C 57 17,SUPPRESS,2,0
C 57 18,RELEASE,76,211
C 57 19,RELEASE,35,70
C 57 20,RELEASE,53,145
C 57 21,RELEASE,51,143
C 58 00,SUPPRESS,4,0
C 58 01,RELEASE,32,91
C 58 02,RELEASE,117,306
C 58 03,SUPPRESS,2,0
