Geography,SUPPRESSION_FLAG,HOUSEHOLDS,PERSONS
D 12 05,RELEASE,24,59
D 12 06,RELEASE,14,41
D 12 07,RELEASE,17,44
D 12 08,RELEASE,23,67
D 12 09,SUPPRESS,12,0
D 12 10,RELEASE,27,86
D 12 11,RELEASE,23,56
D 12 12,RELEASE,22,61
D 12 13,SUPPRESS,6,0
D 12 14,SUPPRESS,7,0
D 12 15,RELEASE,13,35
D 12 16,SUPPRESS,5,0
D 12 17,SUPPRESS,2,0
D 12 18,SUPPRESS,7,0
D 12 34,SUPPRESS,3,0
D 12 35,SUPPRESS,2,0
D 12 39,RELEASE,14,31
D 12 40,RELEASE,113,259
D 12 41,RELEASE,73,106
D 12 51,SUPPRESS,1,0
D 13 00,RELEASE,26,69
D 13 01,RELEASE,40,95
D 13 02,RELEASE,16,44
D 13 03,RELEASE,16,46
D 13 04,RELEASE,17,45
D 13 05,RELEASE,50,122
D 13 06,SUPPRESS,6,0
D 13 07,SUPPRESS,7,0
D 13 08,RELEASE,20,61
D 13 09,SUPPRESS,9,0
D 13 10,SUPPRESS,3,0
D 13 11,SUPPRESS,6,0
D 13 12,SUPPRESS,10,0
D 13 13,RELEASE,39,130
D 13 14,RELEASE,148,440
D 13 15,RELEASE,14,46
D 13 16,RELEASE,15,47
D 13 17,RELEASE,12,41
D 13 19,SUPPRESS,1,0
D 13 32,SUPPRESS,1,0
D 13 35,SUPPRESS,8,0
D 13 36,SUPPRESS,1,0
D 13 37,SUPPRESS,1,0
D 13 38,SUPPRESS,5,0
D 13 39,SUPPRESS,7,0
D 13 40,RELEASE,20,52
D 13 41,SUPPRESS,5,0
D 13 51,SUPPRESS,0,0
D 14 00,RELEASE,16,42
D 14 01,RELEASE,20,57
D 14 02,SUPPRESS,7,0
D 14 03,SUPPRESS,10,0
D 14 04,SUPPRESS,7,0
D 14 05,RELEASE,164,348
D 14 06,RELEASE,629,1458
D 14 07,RELEASE,27,83
D 14 08,RELEASE,24,67
D 14 09,RELEASE,16,47
D 14 10,SUPPRESS,1,0
D 14 11,SUPPRESS,2,0
D 14 12,SUPPRESS,3,0
D 14 13,RELEASE,14,51
D 14 14,RELEASE,30,87
D 14 15,RELEASE,30,83
D 14 16,RELEASE,23,79
D 14 17,RELEASE,61,165
D 14 18,SUPPRESS,7,0
D 14 19,SUPPRESS,2,0
D 14 34,RELEASE,12,37
D 14 35,SUPPRESS,7,0
D 14 38,SUPPRESS,10,0
D 14 39,SUPPRESS,8,0
D 14 40,RELEASE,18,51
D 14 41,RELEASE,15,35
D 14 50,RELEASE,26,49
D 14 51,RELEASE,17,31
D 15 00,RELEASE,15,46
D 15 01,RELEASE,22,64
D 15 02,RELEASE,21,54
D 15 03,RELEASE,10,34
D 15 04,SUPPRESS,9,0
D 15 05,SUPPRESS,6,0
D 15 06,RELEASE,545,1186
D 15 07,RELEASE,29,74
D 15 08,RELEASE,13,43
D 15 09,RELEASE,20,53
D 15 10,SUPPRESS,5,0
D 15 13,SUPPRESS,4,0
D 15 14,SUPPRESS,7,0
D 15 15,RELEASE,16,60
D 15 16,RELEASE,14,45
D 15 17,SUPPRESS,9,0
D 15 18,SUPPRESS,1,0
D 15 38,SUPPRESS,3,0
D 15 39,SUPPRESS,9,0
D 15 40,RELEASE,66,144
D 15 41,SUPPRESS,8,0
D 15 47,SUPPRESS,1,0
D 15 49,SUPPRESS,2,0
D 15 50,SUPPRESS,13,0
D 15 51,SUPPRESS,4,0
D 16 00,SUPPRESS,4,0
D 16 01,SUPPRESS,4,0
D 16 02,RELEASE,23,64
D 16 03,RELEASE,11,32
D 16 04,RELEASE,11,40
D 16 05,RELEASE,17,43
D 16 06,SUPPRESS,13,0
D 16 07,RELEASE,24,71
D 16 08,RELEASE,10,32
D 16 09,SUPPRESS,8,0
D 16 10,RELEASE,14,47
D 16 11,SUPPRESS,1,0
D 16 12,SUPPRESS,1,0
D 16 15,SUPPRESS,6,0
D 16 16,RELEASE,11,35
D 16 17,RELEASE,173,478
D 16 18,RELEASE,90,205
D 16 37,SUPPRESS,3,0
D 16 38,SUPPRESS,3,0
D 16 39,RELEASE,14,37
D 16 40,RELEASE,17,40
D 16 41,SUPPRESS,3,0
D 17 00,RELEASE,27,86
D 17 01,SUPPRESS,6,0
D 17 02,SUPPRESS,9,0
D 17 03,RELEASE,20,54
D 17 04,RELEASE,27,70
D 17 05,SUPPRESS,7,0
D 17 06,SUPPRESS,12,0
D 17 07,SUPPRESS,10,0
D 17 08,SUPPRESS,9,0
D 17 09,SUPPRESS,9,0
D 17 10,RELEASE,14,44
D 17 11,SUPPRESS,8,0
D 17 12,SUPPRESS,3,0
D 17 16,SUPPRESS,4,0
D 17 17,SUPPRESS,7,0
D 17 38,SUPPRESS,12,0
D 17 39,SUPPRESS,7,0
D 17 40,SUPPRESS,5,0
D 17 41,SUPPRESS,4,0
D 17 42,SUPPRESS,2,0
D 18 00,RELEASE,17,56
D 18 01,RELEASE,14,33
D 18 02,RELEASE,11,30
D 18 03,RELEASE,13,46
D 18 04,SUPPRESS,4,0
D 18 05,SUPPRESS,10,0
D 18 06,RELEASE,18,50
D 18 07,RELEASE,22,48
D 18 08,SUPPRESS,10,0
D 18 09,RELEASE,10,34
D 18 10,SUPPRESS,3,0
D 18 11,SUPPRESS,1,0
D 18 17,SUPPRESS,3,0
D 18 21,SUPPRESS,0,0
D 18 38,SUPPRESS,4,0
D 18 39,SUPPRESS,12,0
D 18 40,SUPPRESS,7,0
D 18 42,SUPPRESS,3,0
D 19 00,SUPPRESS,1,0
D 19 01,SUPPRESS,8,0
D 19 02,SUPPRESS,3,0
D 19 03,RELEASE,12,38
D 19 04,RELEASE,14,46
D 19 05,RELEASE,21,54
D 19 06,RELEASE,28,72
D 19 07,RELEASE,15,41
D 19 08,RELEASE,13,34
D 19 09,SUPPRESS,8,0
D 19 10,SUPPRESS,3,0
D 19 20,SUPPRESS,3,0
D 19 28,SUPPRESS,1,0
D 19 31,SUPPRESS,4,0
D 19 37,SUPPRESS,1,0
D 19 38,SUPPRESS,3,0
D 19 39,SUPPRESS,2,0
D 19 40,SUPPRESS,2,0
D 19 42,SUPPRESS,1,0
D 20 00,SUPPRESS,7,0
D 20 01,SUPPRESS,3,0
D 20 02,SUPPRESS,1,0
D 20 03,SUPPRESS,2,0
D 20 04,RELEASE,14,36
D 20 05,SUPPRESS,5,0
D 20 06,RELEASE,12,35
D 20 07,RELEASE,15,77
D 20 08,SUPPRESS,7,0
D 20 09,RELEASE,12,34
D 20 10,SUPPRESS,5,0
D 20 20,SUPPRESS,8,0
D 20 24,SUPPRESS,2,0
D 20 25,SUPPRESS,4,0
D 20 27,SUPPRESS,4,0
D 20 28,SUPPRESS,7,0
D 20 31,SUPPRESS,2,0
D 20 37,SUPPRESS,1,0
D 21 00,SUPPRESS,4,0
D 21 01,SUPPRESS,7,0
D 21 03,SUPPRESS,3,0
D 21 05,SUPPRESS,2,0
D 21 06,RELEASE,15,46
D 21 07,RELEASE,32,74
D 21 08,RELEASE,12,41
D 21 09,RELEASE,21,62
D 21 10,SUPPRESS,5,0
D 21 20,SUPPRESS,2,0
D 21 24,SUPPRESS,7,0
D 21 25,RELEASE,16,52
D 21 26,RELEASE,12,35
D 21 27,RELEASE,17,49
D 21 28,SUPPRESS,11,0
D 21 29,SUPPRESS,9,0
D 21 31,SUPPRESS,2,0
D 21 32,SUPPRESS,2,0
D 22 00,SUPPRESS,6,0
D 22 01,SUPPRESS,1,0
D 22 02,SUPPRESS,2,0
D 22 04,SUPPRESS,1,0
D 22 06,SUPPRESS,10,0
D 22 07,RELEASE,16,40
D 22 08,SUPPRESS,9,0
D 22 09,RELEASE,24,63
D 22 10,RELEASE,13,30
D 22 11,RELEASE,13,37
D 22 20,SUPPRESS,1,0
D 22 21,RELEASE,15,37
D 22 22,RELEASE,16,43
D 22 23,RELEASE,17,58
D 22 24,SUPPRESS,3,0
D 22 25,SUPPRESS,2,0
D 22 26,RELEASE,15,39
D 22 27,RELEASE,44,143
D 22 28,RELEASE,29,74
D 22 29,RELEASE,14,41
D 22 30,RELEASE,21,70
D 22 31,SUPPRESS,5,0
D 22 32,SUPPRESS,10,0
D 22 39,SUPPRESS,8,0
D 22 40,SUPPRESS,5,0
D 23 00,SUPPRESS,4,0
D 23 01,SUPPRESS,4,0
D 23 06,SUPPRESS,5,0
D 23 07,RELEASE,19,46
D 23 08,SUPPRESS,13,0
D 23 09,RELEASE,16,53
D 23 10,RELEASE,18,47
D 23 11,RELEASE,11,33
D 23 12,SUPPRESS,2,0
D 23 22,SUPPRESS,9,0
D 23 23,SUPPRESS,3,0
D 23 24,RELEASE,20,61
D 23 25,RELEASE,78,181
D 23 26,RELEASE,24,50
D 23 27,RELEASE,296,695
D 23 28,RELEASE,21,50
D 23 29,SUPPRESS,2,0
D 23 31,RELEASE,28,75
D 23 32,RELEASE,31,72
D 23 33,SUPPRESS,1,0
D 23 38,SUPPRESS,2,0
D 24 04,SUPPRESS,1,0
D 24 05,SUPPRESS,2,0
D 24 06,SUPPRESS,1,0
D 24 08,SUPPRESS,7,0
D 24 09,SUPPRESS,1,0
D 24 10,SUPPRESS,5,0
D 24 11,SUPPRESS,5,0
D 24 23,RELEASE,14,50
D 24 24,RELEASE,68,188
D 24 25,RELEASE,128,313
D 24 26,RELEASE,65,210
D 24 27,RELEASE,146,348
D 24 28,RELEASE,26,60
D 24 29,SUPPRESS,12,0
D 24 30,SUPPRESS,2,0
D 24 31,SUPPRESS,4,0
D 24 32,RELEASE,148,387
D 24 33,RELEASE,20,44
D 24 34,SUPPRESS,3,0
D 24 35,SUPPRESS,3,0
D 25 00,SUPPRESS,2,0
D 25 01,SUPPRESS,1,0
D 25 04,SUPPRESS,2,0
D 25 07,SUPPRESS,4,0
D 25 10,SUPPRESS,6,0
D 25 11,SUPPRESS,10,0
D 25 24,RELEASE,25,54
D 25 32,SUPPRESS,10,0
D 25 33,SUPPRESS,5,0
D 25 34,RELEASE,13,42
D 25 35,SUPPRESS,2,0
D 25 36,SUPPRESS,1,0
D 25 37,SUPPRESS,1,0
D 26 04,SUPPRESS,1,0
D 26 05,SUPPRESS,4,0
D 26 06,SUPPRESS,7,0
D 26 07,RELEASE,12,38
D 26 08,SUPPRESS,9,0
D 26 10,SUPPRESS,2,0
D 26 12,SUPPRESS,4,0
D 26 13,SUPPRESS,9,0
D 26 15,SUPPRESS,1,0
D 26 18,SUPPRESS,3,0
D 26 24,SUPPRESS,4,0
D 27 00,SUPPRESS,1,0
D 27 06,SUPPRESS,3,0
D 27 07,SUPPRESS,7,0
D 27 08,RELEASE,15,40
D 27 09,RELEASE,12,38
D 27 11,SUPPRESS,9,0
D 27 12,SUPPRESS,3,0
D 27 13,SUPPRESS,5,0
D 27 14,RELEASE,10,32
D 27 15,SUPPRESS,8,0
D 27 16,SUPPRESS,4,0
D 27 17,SUPPRESS,6,0
D 27 18,SUPPRESS,6,0
D 27 25,SUPPRESS,2,0
D 28 00,SUPPRESS,3,0
D 28 07,RELEASE,18,37
D 28 08,RELEASE,14,36
D 28 09,SUPPRESS,10,0
D 28 10,RELEASE,13,39
D 28 11,SUPPRESS,4,0
D 28 12,SUPPRESS,3,0
D 28 13,SUPPRESS,8,0
D 28 14,SUPPRESS,5,0
D 28 15,SUPPRESS,10,0
D 28 16,RELEASE,50,120
D 28 17,RELEASE,248,574
D 28 18,RELEASE,351,888
D 28 19,RELEASE,16,36
D 28 20,SUPPRESS,5,0
D 28 21,SUPPRESS,1,0
D 28 25,SUPPRESS,1,0
D 29 06,SUPPRESS,1,0
D 29 08,SUPPRESS,12,0
D 29 09,SUPPRESS,5,0
D 29 10,SUPPRESS,6,0
D 29 11,RELEASE,18,43
D 29 12,SUPPRESS,6,0
D 29 13,SUPPRESS,5,0
D 29 14,SUPPRESS,5,0
D 29 15,SUPPRESS,6,0
D 29 16,RELEASE,14,36
D 29 19,SUPPRESS,8,0
D 29 20,SUPPRESS,9,0
D 29 21,SUPPRESS,5,0
D 29 22,SUPPRESS,6,0
D 29 24,SUPPRESS,4,0
D 30 03,SUPPRESS,1,0
D 30 04,SUPPRESS,2,0
D 30 07,SUPPRESS,10,0
D 30 08,SUPPRESS,6,0
D 30 09,SUPPRESS,2,0
D 30 12,SUPPRESS,2,0
D 30 13,SUPPRESS,1,0
D 30 14,SUPPRESS,3,0
D 30 15,RELEASE,80,163
D 30 16,SUPPRESS,2,0
D 30 23,SUPPRESS,4,0
D 30 24,SUPPRESS,2,0
D 31 05,SUPPRESS,7,0
D 31 06,SUPPRESS,3,0
D 31 07,SUPPRESS,3,0
D 31 08,SUPPRESS,3,0
D 31 09,SUPPRESS,9,0
D 31 10,SUPPRESS,7,0
D 31 11,SUPPRESS,3,0
D 31 13,SUPPRESS,2,0
D 31 14,RELEASE,35,86
D 31 15,RELEASE,129,265
D 32 04,SUPPRESS,3,0
D 32 05,SUPPRESS,8,0
D 32 06,SUPPRESS,1,0
D 32 08,SUPPRESS,1,0
D 32 13,SUPPRESS,4,0
D 32 14,SUPPRESS,7,0
D 33 01,SUPPRESS,2,0
D 33 02,SUPPRESS,3,0
D 33 04,SUPPRESS,1,0
D 33 12,SUPPRESS,2,0
D 33 13,SUPPRESS,7,0
D 33 14,SUPPRESS,1,0
D 34 00,SUPPRESS,6,0
D 34 01,SUPPRESS,4,0
D 34 03,SUPPRESS,3,0
D 34 04,SUPPRESS,1,0
D 34 06,SUPPRESS,3,0
D 34 07,SUPPRESS,1,0
D 34 08,SUPPRESS,2,0
D 34 09,SUPPRESS,2,0
D 34 10,SUPPRESS,6,0
D 34 11,RELEASE,11,36
D 34 12,RELEASE,12,34
D 34 13,SUPPRESS,1,0
D 35 00,RELEASE,34,85
D 35 01,SUPPRESS,8,0
D 35 02,SUPPRESS,7,0
D 35 03,SUPPRESS,4,0
D 35 05,RELEASE,13,35
D 35 06,SUPPRESS,7,0
D 35 07,RELEASE,31,91
D 35 08,RELEASE,14,38
D 35 09,SUPPRESS,8,0
D 35 10,SUPPRESS,5,0
D 35 11,SUPPRESS,1,0
D 36 00,RELEASE,16,39
D 36 01,RELEASE,17,38
D 36 02,SUPPRESS,7,0
D 36 03,SUPPRESS,3,0
D 36 04,RELEASE,17,47
D 36 05,SUPPRESS,8,0
D 36 06,RELEASE,12,33
D 36 07,RELEASE,34,97
D 36 08,RELEASE,24,50
D 37 00,RELEASE,18,45
D 37 01,RELEASE,409,914
D 37 02,RELEASE,28,68
D 37 03,RELEASE,103,213
D 37 04,RELEASE,14,35
D 37 05,SUPPRESS,8,0
D 37 06,RELEASE,18,46
D 37 07,RELEASE,343,785
D 37 08,SUPPRESS,5,0
D 38 00,RELEASE,23,67
D 38 01,RELEASE,221,598
D 38 02,RELEASE,919,2313
D 38 03,RELEASE,1756,3831
D 38 04,RELEASE,247,586
D 38 05,RELEASE,47,73
D 38 06,SUPPRESS,7,0
D 38 07,SUPPRESS,1,0
D 39 00,SUPPRESS,5,0
D 39 01,RELEASE,89,208
D 39 02,RELEASE,1093,2029
D 39 03,RELEASE,623,1333
D 39 04,RELEASE,439,1103
D 39 05,RELEASE,118,260
D 40 00,RELEASE,38,73
D 40 01,RELEASE,36,58
D 40 02,RELEASE,692,1304
D 40 03,RELEASE,1268,2660
D 40 04,RELEASE,231,539
D 41 01,RELEASE,24,121
D 41 02,RELEASE,377,809
D 42 02,RELEASE,53,103
D 43 00,SUPPRESS,5,0
D 43 01,RELEASE,18,49
D 43 02,RELEASE,18,34
D 44 00,SUPPRESS,12,0
D 44 01,SUPPRESS,3,0
D 44 02,RELEASE,16,40
D 44 03,SUPPRESS,1,0
D 45 00,RELEASE,19,46
D 45 01,RELEASE,19,40
D 45 02,SUPPRESS,5,0
D 46 00,RELEASE,149,356
D 46 01,RELEASE,38,105
D 46 02,SUPPRESS,5,0
G 89 57,SUPPRESS,10,0
G 90 54,SUPPRESS,6,0
G 90 55,SUPPRESS,3,0
G 90 56,SUPPRESS,4,0
G 90 57,RELEASE,10,32
G 91 53,SUPPRESS,1,0
G 91 54,SUPPRESS,2,0
G 91 55,SUPPRESS,2,0
G 91 56,RELEASE,12,31
G 91 57,SUPPRESS,8,0
G 92 53,SUPPRESS,7,0
G 92 54,SUPPRESS,3,0
G 92 55,SUPPRESS,3,0
G 92 56,SUPPRESS,2,0
G 92 57,SUPPRESS,8,0
G 92 58,SUPPRESS,2,0
G 93 51,SUPPRESS,4,0
G 93 52,RELEASE,42,101
G 93 53,SUPPRESS,3,0
G 93 54,SUPPRESS,1,0
G 93 55,SUPPRESS,6,0
G 93 56,SUPPRESS,9,0
G 93 57,RELEASE,10,39
G 93 58,RELEASE,76,176
G 93 59,RELEASE,20,41
G 94 50,RELEASE,11,36
G 94 51,RELEASE,86,196
G 94 52,RELEASE,52,123
G 94 53,RELEASE,14,30
G 94 54,SUPPRESS,8,0
G 94 55,SUPPRESS,9,0
G 94 56,RELEASE,15,48
G 94 57,SUPPRESS,4,0
G 94 58,RELEASE,37,66
G 94 59,RELEASE,289,594
G 95 48,SUPPRESS,2,0
G 95 49,SUPPRESS,10,0
G 95 50,SUPPRESS,9,0
G 95 51,SUPPRESS,2,0
G 95 52,SUPPRESS,5,0
G 95 53,SUPPRESS,6,0
G 95 54,SUPPRESS,1,0
G 95 55,SUPPRESS,9,0
G 95 56,SUPPRESS,6,0
G 95 57,SUPPRESS,2,0
G 95 58,SUPPRESS,11,0
G 95 59,RELEASE,52,129
G 96 46,SUPPRESS,2,0
G 96 47,SUPPRESS,0,0
G 96 48,SUPPRESS,10,0
G 96 49,SUPPRESS,6,0
G 96 50,SUPPRESS,1,0
G 96 51,SUPPRESS,3,0
G 96 52,SUPPRESS,8,0
G 96 53,SUPPRESS,4,0
G 96 54,SUPPRESS,1,0
G 96 55,SUPPRESS,8,0
G 96 56,SUPPRESS,6,0
G 96 57,SUPPRESS,8,0
G 96 58,SUPPRESS,4,0
G 96 59,RELEASE,15,48
G 97 46,SUPPRESS,6,0
G 97 47,SUPPRESS,9,0
G 97 48,SUPPRESS,3,0
G 97 49,SUPPRESS,2,0
G 97 50,SUPPRESS,1,0
G 97 51,SUPPRESS,2,0
G 97 52,SUPPRESS,9,0
G 97 53,SUPPRESS,1,0
G 97 54,SUPPRESS,5,0
G 97 55,SUPPRESS,5,0
G 97 56,SUPPRESS,8,0
G 97 57,RELEASE,20,50
G 97 58,SUPPRESS,2,0
G 97 59,SUPPRESS,9,0
G 97 60,SUPPRESS,2,0
G 98 45,SUPPRESS,1,0
G 98 46,SUPPRESS,8,0
G 98 47,RELEASE,15,34
G 98 48,SUPPRESS,1,0
G 98 49,SUPPRESS,2,0
G 98 51,SUPPRESS,3,0
G 98 52,SUPPRESS,7,0
G 98 54,SUPPRESS,1,0
G 98 56,SUPPRESS,4,0
G 98 57,RELEASE,18,43
G 98 58,SUPPRESS,6,0
G 98 59,RELEASE,14,35
G 98 60,SUPPRESS,9,0
G 99 45,SUPPRESS,0,0
G 99 46,SUPPRESS,11,0
G 99 47,SUPPRESS,1,0
G 99 48,SUPPRESS,3,0
G 99 49,SUPPRESS,5,0
G 99 51,SUPPRESS,6,0
G 99 52,SUPPRESS,5,0
G 99 53,SUPPRESS,3,0
G 99 56,SUPPRESS,2,0
G 99 57,SUPPRESS,2,0
G 99 58,SUPPRESS,1,0
G 99 59,RELEASE,17,42
G 99 60,SUPPRESS,3,0
G 99 61,SUPPRESS,4,0
G 99 65,SUPPRESS,2,0
H 00 44,SUPPRESS,5,0
H 00 45,SUPPRESS,9,0
H 00 46,SUPPRESS,3,0
H 00 48,SUPPRESS,3,0
H 00 49,SUPPRESS,1,0
H 00 51,SUPPRESS,2,0
H 00 52,SUPPRESS,4,0
H 00 56,SUPPRESS,1,0
H 00 57,SUPPRESS,9,0
H 00 59,SUPPRESS,6,0
H 00 60,SUPPRESS,7,0
H 00 61,RELEASE,15,48
H 00 62,SUPPRESS,2,0
H 00 63,SUPPRESS,3,0
H 00 64,SUPPRESS,3,0
H 01 43,SUPPRESS,9,0
H 01 44,RELEASE,13,33
H 01 45,SUPPRESS,3,0
H 01 46,SUPPRESS,3,0
H 01 47,SUPPRESS,1,0
H 01 48,SUPPRESS,3,0
H 01 51,SUPPRESS,2,0
H 01 53,SUPPRESS,1,0
H 01 54,SUPPRESS,1,0
H 01 57,SUPPRESS,6,0
H 01 58,SUPPRESS,1,0
H 01 59,SUPPRESS,1,0
H 01 60,SUPPRESS,5,0
H 01 61,RELEASE,15,43
H 01 62,SUPPRESS,6,0
H 01 63,SUPPRESS,4,0
H 01 64,SUPPRESS,5,0
H 02 42,SUPPRESS,7,0
H 02 43,SUPPRESS,5,0
H 02 45,SUPPRESS,5,0
H 02 46,SUPPRESS,1,0
H 02 47,SUPPRESS,1,0
H 02 48,SUPPRESS,1,0
H 02 51,SUPPRESS,1,0
H 02 58,SUPPRESS,2,0
H 02 59,SUPPRESS,1,0
H 02 61,RELEASE,12,34
H 02 62,SUPPRESS,8,0
H 02 65,SUPPRESS,4,0
H 03 40,SUPPRESS,2,0
H 03 41,SUPPRESS,5,0
H 03 42,SUPPRESS,3,0
H 03 43,SUPPRESS,2,0
H 03 45,SUPPRESS,1,0
H 03 46,SUPPRESS,4,0
H 03 47,SUPPRESS,1,0
H 03 49,SUPPRESS,1,0
H 03 51,SUPPRESS,1,0
H 03 53,SUPPRESS,1,0
H 03 58,SUPPRESS,5,0
H 03 62,RELEASE,12,31
H 03 63,SUPPRESS,1,0
H 04 39,SUPPRESS,1,0
H 04 40,RELEASE,15,35
H 04 41,SUPPRESS,2,0
H 04 43,SUPPRESS,1,0
H 04 49,SUPPRESS,2,0
H 04 51,SUPPRESS,3,0
H 04 53,SUPPRESS,1,0
H 04 58,SUPPRESS,2,0
H 04 62,SUPPRESS,3,0
H 05 39,SUPPRESS,2,0
H 05 40,SUPPRESS,3,0
H 05 41,SUPPRESS,12,0
H 05 51,SUPPRESS,3,0
H 05 54,SUPPRESS,1,0
H 05 58,SUPPRESS,3,0
H 05 62,SUPPRESS,3,0
H 05 63,SUPPRESS,3,0
H 06 39,RELEASE,12,34
H 06 40,SUPPRESS,7,0
H 06 41,SUPPRESS,1,0
H 06 51,SUPPRESS,5,0
H 06 54,SUPPRESS,10,0
H 06 62,SUPPRESS,1,0
H 06 63,SUPPRESS,7,0
H 06 64,SUPPRESS,1,0
H 07 38,SUPPRESS,3,0
H 07 39,RELEASE,23,73
H 07 40,SUPPRESS,2,0
H 07 50,SUPPRESS,1,0
H 07 51,SUPPRESS,1,0
H 07 62,SUPPRESS,1,0
H 07 63,RELEASE,11,30
H 07 64,SUPPRESS,3,0
H 08 36,SUPPRESS,1,0
H 08 37,SUPPRESS,2,0
H 08 38,RELEASE,159,343
H 08 39,RELEASE,25,52
H 08 40,SUPPRESS,1,0
H 08 41,SUPPRESS,1,0
H 08 42,SUPPRESS,4,0
H 08 51,SUPPRESS,2,0
H 08 52,SUPPRESS,1,0
H 08 54,SUPPRESS,3,0
H 08 62,SUPPRESS,3,0
H 08 64,SUPPRESS,6,0
H 09 34,SUPPRESS,4,0
H 09 35,SUPPRESS,3,0
H 09 36,SUPPRESS,5,0
H 09 38,RELEASE,20,52
H 09 39,SUPPRESS,1,0
H 09 40,SUPPRESS,7,0
H 09 41,SUPPRESS,10,0
H 09 42,SUPPRESS,1,0
H 09 47,SUPPRESS,4,0
H 09 48,SUPPRESS,1,0
H 09 49,SUPPRESS,1,0
H 09 50,SUPPRESS,2,0
H 09 51,SUPPRESS,6,0
H 09 52,SUPPRESS,5,0
H 09 54,SUPPRESS,7,0
H 09 55,SUPPRESS,1,0
H 09 57,SUPPRESS,3,0
H 09 62,SUPPRESS,4,0
H 09 65,SUPPRESS,1,0
H 10 33,SUPPRESS,3,0
H 10 36,SUPPRESS,1,0
H 10 38,SUPPRESS,4,0
H 10 39,RELEASE,18,51
H 10 42,SUPPRESS,1,0
H 10 43,SUPPRESS,2,0
H 10 47,SUPPRESS,6,0
H 10 48,SUPPRESS,4,0
H 10 49,SUPPRESS,8,0
H 10 50,SUPPRESS,7,0
H 10 51,RELEASE,12,45
H 10 52,RELEASE,12,33
H 10 53,SUPPRESS,7,0
H 10 54,SUPPRESS,4,0
H 10 55,SUPPRESS,3,0
H 10 56,SUPPRESS,2,0
H 10 57,SUPPRESS,6,0
H 10 62,SUPPRESS,7,0
H 10 63,SUPPRESS,3,0
H 10 65,SUPPRESS,2,0
H 10 66,RELEASE,13,30
H 10 67,SUPPRESS,2,0
H 10 81,SUPPRESS,2,0
H 10 87,SUPPRESS,3,0
H 11 33,SUPPRESS,3,0
H 11 36,SUPPRESS,6,0
H 11 38,SUPPRESS,4,0
H 11 39,SUPPRESS,5,0
H 11 43,SUPPRESS,6,0
H 11 44,SUPPRESS,1,0
H 11 45,SUPPRESS,10,0
H 11 46,RELEASE,16,47
H 11 47,SUPPRESS,11,0
H 11 48,SUPPRESS,6,0
H 11 49,SUPPRESS,9,0
H 11 50,SUPPRESS,2,0
H 11 51,RELEASE,26,86
H 11 52,RELEASE,144,337
H 11 53,RELEASE,13,34
H 11 54,RELEASE,11,33
H 11 55,RELEASE,17,49
H 11 56,SUPPRESS,10,0
H 11 63,SUPPRESS,6,0
H 11 65,SUPPRESS,1,0
H 11 66,RELEASE,27,55
H 11 67,SUPPRESS,6,0
H 11 81,SUPPRESS,6,0
H 11 86,SUPPRESS,1,0
H 12 35,SUPPRESS,1,0
H 12 36,SUPPRESS,2,0
H 12 38,SUPPRESS,11,0
H 12 39,SUPPRESS,9,0
H 12 43,SUPPRESS,9,0
H 12 44,RELEASE,13,31
H 12 45,RELEASE,13,38
H 12 46,SUPPRESS,12,0
H 12 47,SUPPRESS,10,0
H 12 49,RELEASE,13,40
H 12 50,SUPPRESS,11,0
H 12 51,RELEASE,29,67
H 12 52,RELEASE,79,156
H 12 53,SUPPRESS,7,0
H 12 54,SUPPRESS,5,0
H 12 55,SUPPRESS,11,0
H 12 56,SUPPRESS,8,0
H 12 63,SUPPRESS,10,0
H 12 66,SUPPRESS,10,0
H 12 67,SUPPRESS,2,0
H 12 68,SUPPRESS,3,0
H 12 81,SUPPRESS,2,0
H 12 82,SUPPRESS,1,0
H 12 83,SUPPRESS,1,0
H 12 85,SUPPRESS,3,0
H 12 86,SUPPRESS,1,0
H 13 34,SUPPRESS,1,0
H 13 35,SUPPRESS,9,0
H 13 36,SUPPRESS,7,0
H 13 37,SUPPRESS,5,0
H 13 38,RELEASE,17,49
H 13 39,SUPPRESS,5,0
H 13 43,SUPPRESS,1,0
H 13 44,RELEASE,22,50
H 13 45,RELEASE,11,32
H 13 47,SUPPRESS,9,0
H 13 48,SUPPRESS,7,0
H 13 49,SUPPRESS,5,0
H 13 50,RELEASE,15,49
H 13 51,SUPPRESS,1,0
H 13 52,SUPPRESS,2,0
H 13 53,SUPPRESS,10,0
H 13 54,SUPPRESS,9,0
H 13 55,SUPPRESS,10,0
H 13 63,SUPPRESS,4,0
H 13 64,SUPPRESS,4,0
H 13 65,SUPPRESS,1,0
H 13 66,SUPPRESS,11,0
H 13 67,SUPPRESS,2,0
H 13 78,SUPPRESS,2,0
H 13 79,SUPPRESS,1,0
H 13 80,SUPPRESS,1,0
H 13 81,SUPPRESS,11,0
H 13 84,SUPPRESS,3,0
H 14 34,SUPPRESS,9,0
H 14 35,SUPPRESS,7,0
H 14 36,SUPPRESS,7,0
H 14 37,SUPPRESS,3,0
H 14 38,RELEASE,18,50
H 14 39,SUPPRESS,14,0
H 14 43,SUPPRESS,2,0
H 14 44,RELEASE,12,31
H 14 45,SUPPRESS,8,0
H 14 47,SUPPRESS,7,0
H 14 48,RELEASE,13,35
H 14 49,RELEASE,12,31
H 14 50,RELEASE,20,63
